"tax_type","borough","units"
"421a","bronx",9216
"421a","brooklyn",49654
"421a","manhattan",33791
"421a","queens",23573
"421a","staten_island",808
"420c","bronx",15617
"420c","brooklyn",6811
"420c","manhattan",3575
"420c","queens",3401
"420c","staten_island",292
"other","bronx",771
"other","brooklyn",2169
"other","manhattan",1665
"other","queens",2572
"other","staten_island",140
"none reported","bronx",693
"none reported","brooklyn",7840
"none reported","manhattan",7033
"none reported","queens",2254
"none reported","staten_island",30
