Geography,Name,Level,public_housing
BK 04,Bushwick,Community District,0.00%
BK 07,Sunset Park,Community District,0.00%
BK 10,Bay Ridge/Dyker Heights,Community District,0.00%
BK 11,Bensonhurst,Community District,0.00%
BK 12,Borough Park,Community District,0.00%
BK 14,Flatbush/Midwood,Community District,0.00%
MN 01,Financial District,Community District,0.00%
MN 02,Greenwich Village/Soho,Community District,0.00%
MN 05,Midtown,Community District,0.00%
QN 02,Woodside/Sunnyside,Community District,0.00%
QN 03,Jackson Heights,Community District,0.00%
QN 04,Elmhurst/Corona,Community District,0.00%
QN 05,Ridgewood/Maspeth,Community District,0.00%
QN 06,Rego Park/Forest Hills,Community District,0.00%
QN 09,Kew Gardens/Woodhaven,Community District,0.00%
QN 11,Bayside/Little Neck,Community District,0.00%
SI 03,Tottenville/Great Kills,Community District,0.00%
BK 17,East Flatbush,Community District,0.30%
BX 07,Kingsbridge Heights/Bedford,Community District,0.50%
MN 06,Stuyvesant Town/Turtle Bay,Community District,0.50%
BK 09,South Crown Heights/Lefferts Gardens,Community District,0.80%
QN 10,South Ozone Park/Howard Beach,Community District,1.20%
BX 06,Belmont/East Tremont,Community District,1.50%
MN 08,Upper East Side,Community District,1.90%
QN 07,Flushing/Whitestone,Community District,2.40%
MN 12,Washington Heights/Inwood,Community District,2.50%
BX 04,Highbridge/Concourse,Community District,2.80%
BX 05,Fordham/University Heights,Community District,3.00%
BX 02,Hunts Point/Longwood,Community District,3.10%
QN,Queens,Boro,3.70%
MN 04,Clinton/Chelsea,Community District,4.00%
QN 12,Jamaica/Hollis,Community District,4.80%
BK 01,Greenpoint/Williamsburg,Community District,5.20%
BK,Brooklyn,Boro,6.90%
MN 07,Upper West Side,Community District,7.00%
BK 15,Sheepshead Bay,Community District,7.10%
NYC,New York City,City,7.40%
BK 08,Crown Heights/Prospect Heights,Community District,7.60%
QN 13,Queens Village,Community District,7.90%
SI,Staten Island,Boro,8.20%
BX 08,Riverdale/Fieldston,Community District,8.30%
MN,Manhattan,Boro,8.80%
MN 09,Morningside Heights/Hamilton,Community District,9.20%
QN 08,Hillcrest/Fresh Meadows,Community District,9.20%
BK 05,East New York/Starrett City,Community District,9.30%
BX 12,Williamsbridge/Baychester,Community District,9.50%
BX,The Bronx,Boro,9.70%
QN 01,Astoria,Community District,9.80%
QN 14,Rockaway/Broad Channel,Community District,10.20%
BX 10,Throgs Neck/Co-op City,Community District,11.00%
BK 06,Park Slope/Carroll Gardens,Community District,11.00%
SI 02,South Beach/Willowbrook,Community District,11.00%
BX 11,Morris Park/Bronxdale,Community District,11.10%
BK 02,Fort Greene/Brooklyn Heights,Community District,11.10%
SI 01,St. George/Stapleton,Community District,11.20%
BK 03,Bedford Stuyvesant,Community District,13.30%
BK 18,Flatlands/Canarsie,Community District,15.50%
MN 10,Central Harlem,Community District,16.80%
BX 09,Parkchester/Soundview,Community District,20.20%
BK 13,Coney Island,Community District,21.50%
MN 03,Lower East Side/Chinatown,Community District,22.60%
BX 03,Morrisania/Crotona,Community District,23.00%
BX 01,Mott Haven/Melrose,Community District,25.70%
BK 16,Brownsville,Community District,26.30%
MN 11,East Harlem,Community District,31.60%
